Timestep,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
17280.0,0.0,27.0,69.02,62.1,0.0,75.02000000000001,171.01999999999998,411.25,172.64,106.51999999999998,282.1,146.31,243.25000000000003,291.15,115.51999999999998,117.62,227.86,103.64,157.53,130.52,0.0,127.53999999999999,130.52,168.02,0.0
17300.0,0.0,0.0,57.01,12.0,0.0,27.0,138.17000000000002,235.78,129.01,27.01,250.53,127.6,261.27,165.05,84.62,88.66999999999999,88.33999999999999,70.63,31.54,40.5,0.0,25.5,84.63,175.47,0.0
17320.0,0.0,6.0,70.50999999999999,18.0,0.0,55.5,129.11,270.21000000000004,129.01,42.01,138.72,156.04,231.23999999999998,231.03000000000003,55.599999999999994,178.67,103.33999999999999,121.61999999999999,73.50999999999999,40.5,0.0,33.02,85.65,34.5,0.0
17340.0,0.0,54.07,6.0,6.0,0.0,75.0,126.09,283.58000000000004,127.63999999999999,82.57,99.02,135.18,187.70999999999998,193.71,63.01,94.61,106.63,46.510000000000005,90.12,31.5,0.0,6.0,85.65,91.53999999999999,0.0
17360.0,0.0,61.5,54.0,18.0,0.0,103.50999999999999,163.51,156.01999999999998,276.13,118.53999999999999,256.82,148.52,163.51999999999998,298.68999999999994,78.00999999999999,144.1,111.03,75.01,171.04,58.5,0.0,34.5,115.51,163.53,0.0
17380.0,0.0,43.53,35.09,19.5,0.0,27.61,93.28999999999999,138.35,49.650000000000006,30.13,220.55,60.120000000000005,151.81,136.92000000000002,32.11,154.12,75.09,90.24000000000001,62.27,20.08,0.0,6.0,102.01,124.51,0.0
17400.0,0.0,58.51,33.03,27.0,0.0,18.0,205.62,258.15,105.11,12.0,235.52,103.5,151.74,216.11,70.50999999999999,107.72,81.0,103.6,90.62,19.5,0.0,6.0,21.0,159.65,0.0
17420.0,0.0,100.51,0.0,0.0,0.0,19.5,120.23,250.66,85.52000000000001,6.0,255.75,47.480000000000004,88.71000000000001,175.53,124.62,147.29999999999998,39.1,76.52,66.26,18.009999999999998,0.0,12.0,42.02,168.27,0.0
17440.0,0.0,52.5,46.53,37.5,0.0,81.01,171.05,202.73000000000002,291.15,40.5,172.57,125.44,148.6,274.54,141.02,134.14,118.53,88.5,90.17,73.50999999999999,0.0,34.5,69.00999999999999,180.23999999999998,0.0
17460.0,0.0,90.0,48.01,40.51,0.0,126.02000000000001,276.05,250.62,304.68,55.5,309.18,236.5,171.01999999999998,364.71,186.01999999999998,200.15999999999997,207.06,118.5,178.53,150.03,0.0,61.57,120.06,234.03,0.0
17480.0,0.0,28.5,27.0,19.5,0.0,13.5,133.62,218.51999999999998,135.14,19.5,237.03,112.55,96.06,157.57,102.11,36.01,75.11,70.62,67.50999999999999,6.0,0.0,54.59,23.11,219.01,0.0
17500.0,0.0,57.02,63.0,25.5,0.0,40.53,126.02,245.5,127.51,27.0,199.67999999999998,148.52,141.01,328.61,34.5,118.68,111.01,82.59,186.03,25.5,0.0,70.5,40.52,137.18,0.0
17520.0,0.0,46.51,33.0,34.5,0.0,12.01,103.73,303.94,199.46,18.0,114.71,91.61,127.71000000000001,285.04,70.59,90.01,111.1,69.09,103.62,12.0,0.0,25.52,61.5,100.69,0.0
17540.0,0.0,61.5,90.01,84.05,0.0,60.010000000000005,141.01999999999998,328.68999999999994,156.02,60.010000000000005,240.73,156.10999999999999,126.00999999999999,328.77,100.51,118.51,148.61999999999998,96.00999999999999,156.01999999999998,31.55,0.0,70.52000000000001,91.50999999999999,160.52,0.0
17560.0,0.0,18.0,48.03,47.120000000000005,0.0,12.58,85.73,177.15,218.6,30.13,264.65999999999997,91.65,120.2,190.78,88.52,132.02,72.25,84.12,61.510000000000005,0.0,0.0,25.5,62.11,183.08,0.0
17580.0,0.0,48.10000000000001,63.0,33.0,0.0,12.0,120.01,389.02000000000004,107.22999999999999,0.0,315.67,193.52,201.13,216.04999999999998,87.58,102.14,54.0,76.50999999999999,127.53,12.0,0.0,40.5,33.0,198.92000000000002,0.0
17600.0,0.0,6.0,12.0,12.0,0.0,6.01,108.32,402.45000000000005,114.07000000000001,6.0,310.98,156.10000000000002,69.27,216.03,69.16,87.06,13.51,126.22999999999999,208.57999999999998,6.01,0.0,12.0,48.04,94.52000000000001,0.0
17620.0,0.0,63.0,24.0,40.5,0.0,46.53,43.5,306.18999999999994,276.18,12.0,208.57999999999998,165.22,178.62,282.03,133.51,108.02,133.67000000000002,163.60999999999999,99.19,46.5,0.0,84.02,75.00999999999999,130.51999999999998,0.0
17640.0,0.0,121.54999999999998,60.03,70.50999999999999,0.0,76.5,97.5,319.02,223.54999999999998,54.0,373.64,273.24000000000007,186.06,337.76,217.52999999999997,132.01999999999998,163.56,176.32999999999998,205.52,55.5,0.0,115.51,111.99,162.02,0.0
17660.0,0.0,34.5,78.00999999999999,6.0,0.0,34.59,40.5,262.4,139.7,40.52,316.54,223.63,156.11,148.56,110.13,108.21,93.01,68.31,97.52,13.5,0.0,21.0,94.58,85.50999999999999,0.0
17680.0,0.0,34.5,108.01,33.0,0.0,40.5,84.0,374.49,114.11999999999999,63.06,361.58000000000004,201.06,156.01,276.12,51.12,40.5,135.04,113.44,142.55,48.0,0.0,21.0,50.62,138.04000000000002,0.0
17700.0,0.0,40.5,42.03,12.0,0.0,25.53,52.5,373.64,140.97,21.0,148.58,118.64,126.18,283.53,100.6,49.51,103.60999999999999,67.5,97.7,0.0,0.0,34.5,55.51,127.03,0.0
17720.0,0.0,82.53,69.0,34.5,0.0,58.5,148.57999999999998,343.68,170.88,48.0,253.8,223.63,103.52,604.3199999999999,232.52,70.52000000000001,171.17000000000002,97.5,126.02,34.51,0.0,69.00999999999999,55.51,170.60000000000002,0.0
17740.0,0.0,57.11,60.6,0.0,0.0,53.13,76.64000000000001,305.74,87.15,28.51,259.53999999999996,99.23,34.66,112.76,124.52,106.53,85.72999999999999,33.03,61.6,6.0,0.0,27.0,53.06,49.620000000000005,0.0
17760.0,0.0,70.50999999999999,93.01,6.01,0.0,70.5,120.01,380.89,69.00999999999999,36.01,274.54,156.13,76.62,223.61,41.07,83.11,55.5,54.01,76.50999999999999,48.010000000000005,0.0,48.09,48.0,160.55,0.0
17780.0,0.0,70.50999999999999,63.099999999999994,6.0,0.0,123.02,111.05000000000001,346.67,45.1,90.12,27.02,25.619999999999997,31.6,235.55,84.71,94.59,19.6,40.54,76.52,12.0,0.0,13.5,39.019999999999996,102.01,0.0
17800.0,0.0,42.0,18.0,40.5,0.0,33.010000000000005,216.29000000000002,394.52,133.61,60.0,177.41,126.00999999999999,82.5,238.76,127.51,79.51,148.60999999999999,88.5,126.0,39.0,0.0,27.0,96.00999999999999,78.03,0.0
17820.0,0.0,87.02,27.009999999999998,49.519999999999996,0.0,42.010000000000005,222.05,463.66,235.58,91.5,280.71000000000004,213.13,105.09,199.64,174.01999999999998,117.02000000000001,171.01999999999998,133.53,184.54000000000002,99.00999999999999,0.0,49.51,121.57,121.59,0.0
17840.0,0.0,70.5,48.01,12.0,0.0,0.0,61.6,308.9,166.75,21.0,205.53,82.50999999999999,126.02,150.13,78.59,56.09,114.11,78.1,55.5,19.5,0.0,19.5,21.0,81.13,0.0
17860.0,0.0,100.60000000000001,63.010000000000005,18.0,0.0,25.5,52.5,398.84000000000003,133.51999999999998,21.0,223.83,141.01999999999998,171.01,283.53000000000003,48.02,55.55,121.52,85.65,76.5,27.0,0.0,19.5,21.0,21.1,0.0
17880.0,0.0,11.89,19.5,0.0,0.0,19.52,111.09,356.75,148.75,46.5,191.19,61.6,133.71,268.52,120.15,84.05,67.6,171.06,81.05000000000001,6.0,0.0,18.0,49.55,93.12,0.0
17900.0,0.0,68.91,52.5,6.0,0.0,60.03,156.03,456.52,163.51,76.52,232.58,73.5,118.50999999999999,313.83000000000004,148.51999999999998,105.01,118.51,193.51999999999998,118.50999999999999,54.0,0.0,18.0,93.00999999999999,129.01,0.0
17920.0,0.0,39.67,12.0,12.0,0.0,0.0,31.51,232.57000000000002,132.29,41.09,222.04,76.61,55.67,157.9,117.06,47.120000000000005,82.52,108.25999999999999,75.15,0.0,0.0,25.5,47.16,136.58,0.0
