,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
88,60.0,160.0,320.0,220.0,60.0,240.0,135.0,105.0,165.0,120.0,260.0,150.0,405.0,105.0,60.0,180.0,90.0,240.0,255.0,300.0,120.0,140.0,140.0,240.0,120.0
89,90.0,300.0,60.0,340.0,90.0,180.0,195.0,345.0,405.0,220.0,140.0,420.0,300.0,225.0,180.0,160.0,240.0,345.0,375.0,80.0,210.0,120.0,120.0,160.0,150.0
90,210.0,160.0,340.0,180.0,30.0,200.0,285.0,390.0,225.0,160.0,260.0,225.0,315.0,180.0,400.0,220.0,285.0,360.0,210.0,160.0,60.0,180.0,340.0,260.0,90.0
91,210.0,300.0,220.0,260.0,150.0,140.0,540.0,360.0,480.0,180.0,280.0,570.0,360.0,435.0,180.0,240.0,465.0,420.0,360.0,360.0,30.0,200.0,180.0,120.0,300.0
92,210.0,340.0,220.0,280.0,330.0,300.0,300.0,285.0,195.0,220.0,260.0,210.0,390.0,375.0,380.0,220.0,165.0,375.0,300.0,180.0,210.0,240.0,280.0,280.0,210.0
93,300.0,340.0,400.0,280.0,240.0,320.0,330.0,465.0,360.0,340.0,320.0,255.0,435.0,270.0,260.0,400.0,420.0,375.0,360.0,400.0,270.0,240.0,360.0,180.0,210.0
94,390.0,400.0,240.0,320.0,150.0,240.0,255.0,240.0,255.0,260.0,220.0,285.0,330.0,285.0,120.0,400.0,300.0,285.0,330.0,340.0,420.0,160.0,320.0,340.0,240.0
95,300.0,320.0,340.0,300.0,240.0,240.0,165.0,240.0,165.0,80.0,340.0,330.0,405.0,270.0,280.0,280.0,240.0,255.0,120.0,120.0,210.0,240.0,260.0,220.0,270.0
96,210.0,200.0,160.0,100.0,0.0,140.0,315.0,255.0,135.0,220.0,120.0,360.0,270.0,225.0,340.0,120.0,270.0,195.0,135.0,60.0,180.0,240.0,160.0,160.0,150.0
97,90.0,160.0,240.0,180.0,150.0,180.0,105.0,270.0,195.0,100.0,260.0,150.0,375.0,150.0,360.0,260.0,105.0,195.0,150.0,320.0,150.0,200.0,160.0,180.0,30.0
98,30.0,140.0,40.0,220.0,30.0,60.0,315.0,195.0,300.0,240.0,80.0,495.0,270.0,465.0,120.0,160.0,390.0,285.0,300.0,160.0,150.0,180.0,180.0,100.0,30.0
99,60.0,60.0,440.0,200.0,270.0,140.0,240.0,300.0,135.0,160.0,280.0,360.0,135.0,240.0,200.0,100.0,180.0,240.0,75.0,180.0,150.0,220.0,320.0,100.0,90.0
100,90.0,200.0,80.0,180.0,420.0,220.0,480.0,285.0,345.0,300.0,160.0,285.0,390.0,300.0,240.0,200.0,285.0,390.0,330.0,200.0,210.0,220.0,320.0,160.0,180.0
101,60.0,360.0,320.0,260.0,120.0,200.0,345.0,270.0,195.0,380.0,280.0,135.0,285.0,180.0,440.0,260.0,285.0,240.0,255.0,220.0,210.0,280.0,240.0,380.0,180.0
102,360.0,240.0,300.0,280.0,180.0,180.0,165.0,405.0,315.0,380.0,300.0,285.0,345.0,330.0,420.0,260.0,315.0,435.0,360.0,360.0,330.0,200.0,400.0,180.0,240.0
103,210.0,280.0,260.0,320.0,300.0,240.0,225.0,210.0,210.0,180.0,300.0,315.0,405.0,390.0,320.0,240.0,210.0,240.0,300.0,180.0,120.0,200.0,260.0,280.0,270.0
104,210.0,140.0,380.0,240.0,150.0,280.0,315.0,300.0,165.0,220.0,320.0,150.0,360.0,150.0,140.0,220.0,225.0,210.0,180.0,340.0,210.0,260.0,160.0,160.0,270.0
105,180.0,200.0,120.0,160.0,60.0,140.0,210.0,225.0,285.0,260.0,120.0,405.0,195.0,390.0,100.0,340.0,210.0,195.0,285.0,80.0,240.0,160.0,140.0,180.0,120.0
106,120.0,120.0,180.0,120.0,0.0,280.0,105.0,240.0,210.0,140.0,280.0,150.0,420.0,195.0,260.0,140.0,180.0,240.0,210.0,140.0,150.0,120.0,260.0,160.0,30.0
107,90.0,100.0,160.0,160.0,60.0,160.0,480.0,195.0,285.0,80.0,80.0,480.0,405.0,390.0,160.0,160.0,225.0,255.0,510.0,180.0,90.0,160.0,160.0,200.0,90.0
108,30.0,140.0,240.0,300.0,30.0,240.0,225.0,360.0,210.0,140.0,240.0,135.0,285.0,150.0,200.0,120.0,180.0,390.0,90.0,180.0,60.0,220.0,400.0,200.0,150.0
109,210.0,160.0,320.0,120.0,180.0,160.0,405.0,345.0,330.0,140.0,280.0,405.0,285.0,420.0,260.0,200.0,435.0,480.0,360.0,180.0,180.0,220.0,300.0,280.0,120.0
110,180.0,300.0,340.0,320.0,300.0,280.0,270.0,405.0,240.0,260.0,300.0,405.0,480.0,240.0,220.0,260.0,300.0,240.0,225.0,180.0,300.0,400.0,480.0,420.0,180.0
111,300.0,300.0,260.0,360.0,330.0,320.0,360.0,270.0,360.0,360.0,340.0,315.0,435.0,240.0,360.0,200.0,375.0,375.0,330.0,380.0,180.0,500.0,340.0,180.0,390.0
112,390.0,380.0,240.0,340.0,300.0,160.0,150.0,285.0,345.0,260.0,180.0,390.0,255.0,315.0,260.0,340.0,210.0,240.0,300.0,240.0,180.0,200.0,280.0,440.0,150.0
113,270.0,180.0,340.0,180.0,300.0,460.0,165.0,300.0,165.0,160.0,280.0,180.0,420.0,225.0,300.0,260.0,120.0,345.0,315.0,300.0,300.0,400.0,360.0,180.0,150.0
114,180.0,240.0,80.0,320.0,210.0,140.0,315.0,195.0,135.0,240.0,100.0,375.0,225.0,255.0,60.0,200.0,300.0,210.0,435.0,140.0,180.0,180.0,200.0,300.0,120.0
115,90.0,260.0,280.0,200.0,180.0,380.0,180.0,240.0,120.0,240.0,180.0,105.0,345.0,75.0,120.0,120.0,240.0,255.0,120.0,160.0,120.0,180.0,180.0,160.0,60.0
116,60.0,220.0,320.0,280.0,90.0,160.0,285.0,255.0,360.0,240.0,120.0,300.0,270.0,390.0,120.0,280.0,360.0,315.0,240.0,20.0,120.0,240.0,120.0,260.0,180.0
117,150.0,100.0,260.0,280.0,120.0,100.0,180.0,255.0,165.0,160.0,280.0,255.0,360.0,255.0,200.0,120.0,240.0,375.0,165.0,200.0,120.0,260.0,440.0,280.0,180.0
118,150.0,120.0,220.0,300.0,210.0,400.0,345.0,465.0,435.0,140.0,300.0,375.0,210.0,405.0,220.0,440.0,450.0,210.0,450.0,160.0,150.0,320.0,240.0,280.0,210.0
