Timestep,A0A1,A0B0,A1A0,A1A2,A1B1,A2A1,A2A3,A2B2,A3A2,A3A4,A3B3,A4A3,A4B4,B0A0,B0B1,B0C0,B1A1,B1B0,B1B2,B1C1,B2A2,B2B1,B2B3,B2C2,B3A3,B3B2,B3B4,B3C3,B4A4,B4B3,B4C4,C0B0,C0C1,C0D0,C1B1,C1C0,C1C2,C1D1,C2B2,C2C1,C2C3,C2D2,C3B3,C3C2,C3C4,C3D3,C4B4,C4C3,C4D4,D0C0,D0D1,D0E0,D1C1,D1D0,D1D2,D1E1,D2C2,D2D1,D2D3,D2E2,D3C3,D3D2,D3D4,D3E3,D4C4,D4D3,D4E4,E0D0,E0E1,E1D1,E1E0,E1E2,E2D2,E2E1,E2E3,E3D3,E3E2,E3E4,E4D4,E4E3
15180.00,6.0,12.0,0,6.0,0,27.0,0,7.59,154.65,0,7.59,18.0,34.510000000000005,0,48.0,51.01,0,0,34.5,283.54,0,27.0,32.1,0,0,70.50999999999999,0,37.6,0,25.5,6.0,0,25.5,6.0,0.0,0,55.5,7.59,7.59,19.5,70.50999999999999,0,60.27,70.52000000000001,0,0.0,55.51,13.5,6.0,6.0,12.0,0,7.59,0,78.03999999999999,0,0,55.52,25.5,0,126.02,42.01,0,0,33.0,55.540000000000006,0,6.0,6.0,0,0,93.21,0,6.0,11.879999999999999,7.59,6.0,0,0.0,0
15200.00,19.5,12.0,0,12.0,0,42.01,0,0,190.57,0,0,40.51,42.01,0,108.02,72.01,0,0,63.01,283.54,0,34.5,47.1,0,0,100.51,0,0,0,85.52000000000001,6.0,28.5,78.03,48.0,0,0,78.0,0,60.1,27.0,130.54999999999998,15.09,52.6,100.50999999999999,0,0,70.50999999999999,78.0,28.5,12.0,55.510000000000005,0,0,0,93.01,0,0,93.00999999999999,33.0,0,127.62,49.51,0,0,40.5,160.53,0,33.019999999999996,40.53,0,0,168.03,0,19.5,19.37,0,34.5,0,25.5,6.0
15220.00,0,15.09,0,0,0,0.0,0,6.0,186.03,0,6.0,0,0,0,0,20.11,34.5,6.04,0,274.82,48.01,30.13,7.59,19.5,12.0,80.96,0.0,40.5,0,0.0,0,0,45.230000000000004,0.0,27.06,6.0,15.11,25.509999999999998,57.05,7.59,22.6,12.01,63.03,22.61,0,33.019999999999996,20.12,15.16,0,0,7.59,0,40.53,13.51,30.12,40.5,48.14,22.61,15.11,48.01,85.25,0,13.54,27.0,0,0.0,0,0,0,13.51,0,163.52,21.0,0,12.6,6.01,0,0,7.59,0
15240.00,0,0,0,0,0,0,0,19.5,81.74,0,25.5,0,0,0,0,0.0,57.01,18.0,0,168.08,55.51,0,0,55.5,33.04,0.0,63.04,55.5,0,0,0,0,0,0,72.01,27.0,15.09,55.510000000000005,85.50999999999999,0,67.6,40.51,100.51,0,6.01,100.50999999999999,29.08,0,0,0,0,0,63.01,28.52,60.19,63.0,70.5,0,15.09,63.0,152.72,0,55.5,57.01,0,0,0,0,0,27.0,0,0.0,21.0,0,0,6.0,0,0,0,0
15260.00,6.0,0,0,12.0,0,12.01,6.01,0,34.55,0,0,0.0,0,0,6.0,36.05,58.51,0,33.07,261.34,51.01,18.0,6.0,0.0,0,58.62,81.01,0.0,0,12.0,6.0,19.490000000000002,6.03,6.0,73.51,0,40.519999999999996,0,58.51,13.5,42.03,0,81.01,18.03,0,58.51,72.55,0,0,5.93,19.509999999999998,0,7.65,66.01,34.57,0.0,51.01,6.0,12.0,0.0,118.22,19.5,0.0,58.51,18.0,18.009999999999998,0,0,6.0,0,0,36.02,7.64,0,19.5,0.0,6.0,0,0.0,0.0
15280.00,19.5,12.04,0,19.5,0,55.53,6.0,0,160.63,0,0,25.5,42.0,0,70.5,55.51,0,0,55.51,283.54,0,40.5,78.00999999999999,22.59,0,70.50999999999999,0,0,0,48.0,19.5,62.96,78.04,33.0,0,0,78.00999999999999,0,37.63,70.52,93.02000000000001,0,0.0,70.50999999999999,0,0,78.01,48.0,6.0,25.43,123.03,0,0,0,42.01,0,7.59,19.5,12.0,0,97.73,108.01999999999998,0,0,33.0,85.50999999999999,0,13.5,19.52,0,0,133.57,0.0,19.509999999999998,33.019999999999996,7.61,25.5,0,12.0,28.5
15300.00,48.0,21.0,0,34.5,0,63.010000000000005,28.5,0,205.52,0,6.0,40.5,49.51,0,78.0,79.51,6.0,0,63.01,210.34,0,70.5,123.01,22.6,0.0,85.55,0,22.6,0,78.00999999999999,70.5,107.97,93.02,63.0,0.0,0,108.00999999999999,0.0,75.11,115.53,100.52,0.0,0.0,93.02999999999999,0,0,123.01,85.50999999999999,0.0,26.93,145.53,0,0.0,0,43.51,0.0,0,34.5,42.0,6.08,142.54,138.03,0,0,78.0,138.03,0,27.0,27.0,0.0,0,148.52,0.0,63.040000000000006,43.52,0,28.57,0,13.5,36.01
15320.00,0,0,0,0,12.0,0,0,6.0,186.03,0,48.019999999999996,12.6,0,0,7.59,57.61,13.5,12.0,0,102.03,27.0,0,0,63.01,6.0,60.12,19.5,70.51,0,0,0,0,0,0,55.5,33.0,30.1,19.5,130.53,22.59,0,93.04,93.01,7.59,13.51,100.52,74.1,0.0,0,0,0,0,48.0,34.5,52.6,18.0,25.52,7.59,22.59,27.0,115.61,0,6.0,49.52,44.08,0,0,0,0,6.0,0,156.01,21.0,0,0.0,6.0,0,0,0,0
15340.00,0,0,0,0,19.53,0,0,6.0,179.27,0,63.01,0,0,0,0,0.0,21.01,19.5,0,228.22,33.03,0,0,93.02,25.5,0,27.01,93.02000000000001,0,0,0,0,0,0,78.00999999999999,70.50999999999999,0,55.5,153.01999999999998,0,0,115.52,115.51,0,48.0,130.51,0,0,0,0,0,0,70.5,70.50999999999999,0.0,25.5,48.0,0,0,55.51,138.01999999999998,0,6.0,64.50999999999999,22.6,0,0,0,0,25.509999999999998,0,35.21,27.0,0,21.58,6.0,0,0,0,0
15360.00,6.0,12.0,0,12.0,0,12.0,0,0,108.14,0,0,6.0,6.0,0,40.5,54.68,0,0,33.0,253.54,0,13.5,93.08,30.1,0,78.01,0,52.68,0,55.5,6.0,48.03,21.03,13.5,0,0.0,48.019999999999996,0,60.19,48.01,40.54,45.11,52.61,40.5,0,15.09,34.5,33.040000000000006,6.0,0,63.010000000000005,0,0,0,93.02000000000001,0,7.59,115.65,18.0,0,118.44,48.0,0,0,49.51,19.5,0,55.51,0,0,0,79.57,15.09,13.5,21.0,7.59,0.0,0,6.0,0
