Timestep,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
2440.0,326.38,1301.28,1773.6499999999999,1862.98,465.02,1915.69,1765.38,2239.1,2663.84,1412.29,1481.86,1312.6299999999999,1247.41,2237.27,1943.51,1323.7399999999998,3383.82,1501.5,2218.84,1977.3600000000001,236.04,1714.2599999999998,2204.8199999999997,1195.2600000000002,460.29
2460.0,333.88,1322.29,1833.6299999999999,1906.5300000000002,420.51,1806.3600000000001,1921.06,2261.4700000000003,2725.4300000000003,1427.36,1541.18,1431.74,1113.34,2147.67,1934.89,1432.6,3656.72,1321.3600000000001,2220.3199999999997,2006.17,243.54,1759.32,2304.91,1225.2600000000002,459.52
2480.0,341.38,1343.3,1795.3799999999999,1938.0100000000002,464.8,1843.5700000000002,1875.38,2068.05,2843.87,1406.29,1613.26,1797.3899999999999,1182.3,2296.21,2004.21,1436.2999999999997,3828.06,1396.54,2325.45,1985.9899999999998,251.04,1766.83,2354.38,1300.4900000000002,458.59
2500.0,371.38,1409.3300000000002,1934.9499999999998,1974.0300000000002,464.78,1876.5700000000002,1987.92,2180.98,2648.63,1434.81,1726.69,1808.19,1313.96,2179.08,2044.44,1560.87,3567.95,1427.4299999999998,2474.0,2029.4899999999998,266.03,1838.85,2400.81,1257.04,458.58
2520.0,393.89,1484.38,1965.12,2017.5500000000002,464.78,1929.1000000000001,2138.8,2443.2799999999997,2803.7799999999997,1484.3,1784.04,1933.91,1478.96,2230.0,2122.76,1472.0099999999998,3496.8,1601.7099999999998,2382.46,2116.34,266.22,1928.89,2445.82,1382.4099999999999,466.08
2540.0,416.39,1394.3200000000002,1951.47,1996.5500000000002,464.78,1953.93,2141.73,2615.8999999999996,2798.25,1433.34,1629.38,1993.98,1448.88,2139.08,2562.92,1624.62,3649.29,1513.9599999999998,2445.54,2123.58,296.05,1828.4700000000003,2394.84,1427.4099999999999,466.08
2560.0,416.39,1424.3799999999999,1973.8000000000002,2026.56,464.78,2009.7900000000002,2177.77,2743.44,2888.1800000000003,1454.3,1659.54,2098.98,1404.4,2312.15,2151.84,1714.56,3880.89,1492.9499999999998,2636.3599999999997,2146.91,303.55,1850.8600000000001,2439.7999999999997,1547.5400000000002,466.08
2580.0,416.39,1412.41,2428.9700000000003,2049.09,464.78,2083.27,2209.32,2885.95,2919.7,1448.29,1722.51,2218.98,1423.3600000000001,2119.6499999999996,2195.34,1752.02,3730.8399999999997,1626.61,2900.83,2182.92,311.06,1891.3600000000001,2426.85,1569.3400000000001,466.08
2600.0,431.36,1419.91,2071.62,2121.11,464.78,2150.86,2245.3700000000003,2923.63,2927.23,1490.44,1776.53,2294.1200000000003,1452.63,2214.97,2247.5,1688.1499999999999,3835.76,1787.51,2511.75,2227.94,326.05,1891.39,2445.71,1575.29,466.08
2620.0,409.09,1419.92,2073.13,2079.11,464.78,2184.17,2246.8700000000003,2983.65,3112.55,1526.44,1749.52,2397.55,1467.64,2190.72,2205.2799999999997,1708.2599999999998,3654.34,1834.02,2553.08,2271.3,333.55,1865.8600000000001,2424.52,1656.31,473.58
2640.0,431.39,1425.92,2071.29,2086.6,464.78,2146.37,2246.8700000000003,3019.07,2970.71,1533.94,1668.5,2427.47,1318.64,2214.69,2217.92,1553.1399999999999,3819.42,1901.5300000000002,2642.41,2303.78,348.55,1873.3600000000001,2189.43,1686.3500000000001,473.58
2660.0,438.89,1448.41,2092.3,2116.65,464.78,2216.18,2291.9100000000003,3056.4399999999996,3017.2200000000003,1555.96,1689.56,2424.82,1475.01,2254.43,2211.92,1574.1299999999999,4097.38,1721.52,2920.67,2379.55,378.56,1892.8700000000001,2313.2999999999997,1695.27,473.58
2680.0,446.39,1470.92,2114.79,2173.65,464.78,2253.6,2305.4300000000003,3168.95,3047.25,1503.45,1749.52,2552.7200000000003,1489.73,2237.83,1844.2999999999997,1423.66,4209.48,1819.0100000000002,3046.67,2422.1,386.06,1936.45,2416.6600000000003,1628.8300000000002,473.58
2700.0,446.39,1478.42,2118.7200000000003,2211.17,464.78,2264.91,2344.43,3153.79,3056.27,1556.0,1764.53,2634.6800000000003,1609.78,2305.35,1956.86,1444.66,4216.85,1722.94,2875.91,2440.0099999999998,386.06,1966.38,2408.3999999999996,1456.21,473.58
2720.0,453.89,1508.43,2105.25,2140.66,464.78,2273.32,2321.97,3191.24,2986.64,1526.5700000000002,1728.55,2679.63,1633.7899999999997,2282.83,2071.0699999999997,1483.67,4205.66,1736.4500000000003,2777.09,2483.5099999999998,393.56,1895.8700000000001,2254.9700000000003,1508.93,473.58
2740.0,461.4,1553.46,2135.23,2148.16,464.78,2021.24,2378.85,3052.8500000000004,3045.8,1578.96,1742.01,2747.02,1677.3100000000002,2341.38,2160.87,1483.67,4324.08,1841.4,2987.0699999999997,2238.33,393.56,1895.8700000000001,2344.75,1718.72,473.58
2760.0,468.9,1560.93,2106.77,2161.66,407.27,2037.24,2683.6,3107.8,3119.27,1543.56,1764.52,2738.83,1713.22,2441.8999999999996,2247.84,1423.66,4436.16,1846.4,3120.47,2238.33,393.56,1909.3700000000001,2446.69,1771.1,361.29
2780.0,468.9,1574.43,2098.9700000000003,2188.67,474.5,2089.68,2596.63,3031.86,3082.62,1557.04,1779.53,2205.6199999999994,1810.5299999999997,2365.5,1917.0,1443.23,4518.719999999999,1666.8000000000002,3031.9599999999996,2251.83,401.06,1921.3700000000001,2146.73,1636.1,477.17
2800.0,468.9,1588.27,2076.41,2185.6800000000003,501.07,2111.87,2585.78,3054.3199999999997,3224.67,1564.54,1749.62,2279.1800000000003,1834.4899999999998,2336.89,2008.31,1458.21,4593.7699999999995,1776.33,3150.84,2238.33,401.06,1895.8700000000001,2215.75,1691.61,518.0
2820.0,468.9,1646.74,2091.2400000000002,2185.67,501.07,2092.66,2793.01,3025.1000000000004,3410.49,1587.04,1802.04,2225.0,1902.0300000000002,2363.91,2080.61,1548.18,4539.97,2026.84,3242.43,2238.31,408.56,1931.9,2328.4,1624.09,563.04
2840.0,468.9,1634.74,2106.2400000000002,2185.67,523.5699999999999,2118.79,2748.26,2813.58,3507.99,1542.15,1806.56,2007.4099999999999,2057.7999999999997,2422.96,1727.35,1600.69,4459.59,1906.4999999999998,3324.8999999999996,2251.8199999999997,384.01,1931.7700000000002,2389.65,1466.4699999999998,578.05
2860.0,468.9,1642.24,2103.26,2185.67,523.5699999999999,2192.35,2772.18,3044.2200000000003,3572.8999999999996,1579.54,1860.6399999999999,1905.3700000000001,2088.71,2494.98,1890.81,1417.66,4210.27,1867.5099999999998,3242.24,2265.31,436.31,1937.9700000000003,1933.07,1571.32,585.75
2880.0,468.9,1672.29,2140.76,2193.1800000000003,523.5699999999999,2195.37,2823.17,3178.33,3722.92,1789.57,1913.1999999999998,2055.49,2021.3300000000002,2554.98,1995.8600000000001,1431.16,4382.81,2020.9299999999998,3330.8499999999995,2245.81,466.32,1973.9,2045.6599999999999,1500.7899999999997,593.25
2900.0,468.9,1730.75,2113.8900000000003,2200.69,531.0699999999999,2240.39,2913.2,3069.69,3805.3599999999997,937.3199999999999,1887.6499999999999,2004.43,2184.59,2534.02,1983.81,1431.16,4367.4,1904.5700000000002,3255.0199999999995,2250.91,548.83,1924.3700000000001,2091.22,1568.2799999999997,600.75
2920.0,371.53,1669.27,2052.6800000000003,2215.7,531.0699999999999,2283.97,2994.2799999999997,3054.73,3857.87,1148.4,1923.67,2318.94,2225.8,2564.04,1758.78,1431.16,4658.89,1665.8400000000001,3389.95,2273.41,563.83,1916.8700000000001,2209.75,1650.9299999999998,600.75
2940.0,461.45,1762.28,2134.77,2215.7,538.5699999999999,2335.94,2922.2299999999996,3169.63,3868.71,1234.45,1886.27,1809.73,2304.52,2585.02,1839.89,1429.66,4786.06,1863.83,3421.37,2318.45,548.84,2003.93,1840.6299999999999,1659.8700000000001,615.75
2960.0,461.4,1732.39,2148.25,2229.24,546.0699999999999,2373.4500000000003,2959.7,3289.6400000000003,3882.52,1075.52,1961.1799999999998,1965.39,2332.17,2652.96,1788.9,1444.66,4723.43,1886.6500000000003,3359.8899999999994,2258.67,571.33,2078.9100000000003,1977.6399999999999,1496.32,623.25
2980.0,468.9,1769.76,2142.25,2230.7,553.5799999999999,2434.99,3026.61,3432.21,3957.4900000000002,1147.5,2004.61,2026.89,2297.98,2676.58,1879.0300000000002,1417.66,4857.29,2030.58,3404.9399999999996,2247.33,578.84,2050.3900000000003,2050.71,1584.8899999999999,668.28
3000.0,468.9,1850.77,2164.75,2236.7,553.62,2457.5,3116.61,3462.38,3994.98,1246.99,1961.1799999999998,1780.7300000000002,2447.81,2684.12,1736.3600000000001,1417.66,4421.03,2088.33,3472.4399999999996,2247.33,518.91,2027.94,2200.75,1749.8799999999999,683.31
3020.0,468.62,1867.28,2136.2400000000002,2230.7,591.17,2502.5,3185.7000000000003,3552.26,4017.44,1316.45,2003.2199999999998,1711.85,2547.7400000000002,2706.6499999999996,1751.38,1417.66,4683.389999999999,1954.6899999999998,3451.45,2260.83,608.8499999999999,2102.9300000000003,1890.1,1811.3999999999999,690.8199999999999
3040.0,468.34,1889.81,2155.75,2271.2200000000003,606.17,2776.23,3097.34,3634.6899999999996,4032.37,1307.3999999999999,1995.6899999999998,2004.39,2712.0099999999998,2750.1499999999996,1751.39,1438.71,4811.0,2148.33,3517.45,2320.8399999999997,616.3399999999999,2176.4100000000003,1965.57,1862.46,690.8199999999999
3060.0,468.34,1882.28,2170.75,2274.2200000000003,621.0799999999999,2621.05,3134.67,3723.17,4069.0600000000004,1330.0800000000002,2064.69,1966.95,2786.71,2795.19,1773.88,1461.17,4888.56,2275.0299999999997,3518.95,2350.85,623.8399999999999,2251.4300000000003,2007.75,1674.8999999999999,713.4300000000001
3080.0,453.33,1991.79,1995.1799999999998,2238.21,634.53,2650.94,3199.1400000000003,3819.2,4091.5600000000004,1397.42,2021.1999999999998,1731.0,2788.9900000000002,2730.6800000000003,1862.3400000000001,1465.7,4856.92,2187.5,3535.46,2284.8399999999997,601.34,2222.9100000000003,2058.46,1794.8999999999999,717.26
3100.0,381.38,2021.81,2025.46,2245.71,646.23,2390.77,3324.4,3847.6100000000006,4062.9400000000005,1434.93,2043.69,1791.0399999999997,3009.61,2699.27,1691.3600000000001,1518.18,5074.46,2352.45,3526.5699999999997,2335.18,608.8399999999999,2290.5400000000004,1920.8,1839.8999999999999,748.25
3120.0,280.34,1783.35,2158.63,2253.21,661.23,2375.77,3334.0700000000006,4102.1900000000005,4011.04,1485.95,2327.27,1836.1499999999996,3030.2000000000003,2766.7,1721.38,1423.66,5266.08,2307.49,3592.45,2380.18,623.85,2379.0800000000004,1697.6699999999998,1854.8799999999999,748.13
3140.0,407.9,1924.31,1804.6,2275.75,676.28,2431.17,3383.13,4267.14,4153.570000000001,1538.69,2049.71,1789.73,3158.1900000000005,2825.1899999999996,1736.3700000000001,1437.16,4966.0,2525.37,3614.95,2402.7599999999998,616.33,2424.09,1711.6399999999999,1766.3899999999999,755.54
3160.0,551.6,2270.8700000000003,1896.1599999999999,2283.25,691.28,2440.17,3585.73,4319.54,4116.18,1525.21,2103.71,1837.77,3202.9900000000002,2759.18,1683.8600000000001,1437.16,5101.280000000001,2406.42,3586.45,2410.18,639.73,2419.6000000000004,1712.97,1833.8999999999999,762.93
3180.0,558.9399999999999,1852.35,2031.28,2289.25,698.79,2440.17,3720.65,4357.01,4164.09,1736.54,2007.6799999999998,1920.2399999999998,3197.55,2781.6899999999996,1698.8600000000001,1465.67,5245.03,2564.02,3616.4599999999996,2410.18,654.29,2485.61,1916.04,1863.8999999999999,770.3199999999999
3200.0,573.9499999999999,1694.93,2121.4700000000003,2296.76,728.81,2471.9,3882.9099999999994,4274.74,4253.62,1742.8899999999999,1982.24,1969.76,3414.84,2826.71,1683.8700000000001,1423.66,5327.37,2427.49,3587.95,2447.7,654.28,2523.1300000000006,2168.7400000000002,1916.4299999999998,770.21
3220.0,581.4399999999999,1865.79,1827.1399999999999,2311.77,728.91,2485.41,3990.7599999999998,4456.26,4342.63,1745.79,2063.19,2014.75,3639.9,2907.74,1706.92,1458.16,5370.72,2660.09,3595.45,2455.1899999999996,654.28,2544.1200000000003,1826.29,1871.3999999999999,770.1099999999999
3240.0,588.9200000000001,1993.59,1962.34,2341.7799999999997,758.9599999999999,2500.43,4095.7699999999995,4476.35,4409.64,1771.35,2100.69,1991.41,3712.4999999999995,2960.22,2126.4900000000002,1482.17,5279.84,2674.15,3558.1,2498.6899999999996,699.3,2581.6300000000006,1955.46,1895.4099999999999,783.6500000000001
3260.0,603.9100000000001,1762.33,2039.04,2311.77,773.97,2486.92,4185.83,4551.15,4477.17,1828.31,2006.1799999999998,2109.63,3802.35,2857.88,1701.4700000000003,1527.22,5253.62,2864.2,3601.46,2395.87,714.3,2554.6300000000006,2075.75,1922.4099999999999,805.3400000000001
3280.0,618.9200000000001,1664.94,2091.11,2341.7799999999997,788.99,2494.42,4305.9,4641.37,4529.67,1873.32,2028.6799999999998,2154.6000000000004,3825.63,2910.51,1746.4600000000003,1497.17,5336.02,2821.79,3623.9500000000003,2470.87,721.8,2562.1300000000006,2111.38,1906.3899999999999,813.74
